CRP_noGL, CRP_noGL, !(M_glcn_e | M_glc__D_e | M_arab__L_e | M_xyl__D_e | M_rib__D_e | M_mal__L_e | M_glyc_e)
CRP_noGLC, CRP_noGLC, !(M_glcn_e | M_glc__D_e)
CRP_noGLCN, CRP_noGLCN, !M_glcn_e
CRP_noMAN, CRP_noMAN, !(M_glcn_e | M_glc__D_e | M_arab__L_e | M_xyl__D_e | M_rib__D_e | M_mal__L_e | M_glyc_e | M_sbt__D_e | M_lac__D_e | M_man_e)
CRP_noLAC, CRP_noLAC, !(M_glcn_e | M_glc__D_e | M_arab__L_e | M_xyl__D_e | M_rib__D_e | M_mal__L_e | M_glyc_e | M_sbt__D_e | M_lac__D_e)
CRP_noGLT, CRP_noGLT, !(M_glcn_e | M_glc__D_e | M_arab__L_e | M_xyl__D_e | M_rib__D_e | M_mal__L_e | M_glyc_e | M_sbt__D_e)
CRP_noMAL, CRP_noMAL, !(M_glcn_e | M_glc__D_e | M_arab__L_e | M_xyl__D_e | M_rib__D_e | M_mal__L_e)
CRP_noRIB, CRP_noRIB, !(M_glcn_e | M_glc__D_e | M_arab__L_e | M_xyl__D_e | M_rib__D_e)
CRP_noSUCC, CRP_noSUCC, !(M_glcn_e | M_glc__D_e | M_arab__L_e | M_xyl__D_e | M_rib__D_e | M_mal__L_e | M_glyc_e | M_sbt__D_e | M_lac__D_e | M_man_e | M_succ_e)
CRP_noXYL, CRP_noXYL, !(M_glcn_e | M_glc__D_e | M_arab__L_e | M_xyl__D_e)
Surplus_FDP, Surplus_FDP, ((![R_FBP > 0] & !([R_TKT2 > 0] | [R_TALA > 0] | [R_PGI > 0])) | M_fru_e)
Surplus_PYR, Surplus_PYR, !(([R_ME2 > 0] | [R_ME1 > 0]) & !([R_GLCpts > 0] | [R_PYK > 0] | [R_PFK > 0] | [R_LDH_D < 0] | [R_LDH_D2 > 0] | [R_SUCCt2_2 > 0] | [R_SUCCt2_3 > 0]))
FadR2, FadR2, !(M_ttdca_e | M_hdca_e | M_ocdca_e)
NRI_hi, NRI_hi, (NRI_low & RpoN)
NRI_low, NRI_low, (GlnG & GlnB & GlnD)
